threat,measurement_failure,safeguard,empirical_example,source
Semantic confounding,Treatment changes target-relevant information,Task-relative semantic-information equivalence,LOCAL/CROSS required alias/value matched; companion swap preserves role multiset,"work/results/OMI-3078/IDENTIFICATION_FRAMEWORK.md §§3,5"
Computational redundancy,Designated record is not needed to determine target,Constructive oracle-necessity audit,Earlier parent-value leakage removed before mature R4 instrument,work/results/OMI-3078/EMPIRICAL_EVIDENCE_SYNTHESIS.md §2
Scorer censoring,Completed/readable errors leave denominator,Freeze exact scorer; retain all completed/readable nonexact outputs as errors,Prospective scorer repair after scorer audit,work/results/OMI-3078/EMPIRICAL_EVIDENCE_SYNTHESIS.md §3
Stochastic post-processing,Downstream model changes worker measurement,Deterministic readout when worker response is target,Unnecessary stochastic finalizer removed prospectively,work/results/OMI-3078/EMPIRICAL_EVIDENCE_SYNTHESIS.md §4
Derived-data corruption,Extracted ledger is not faithful to raw response,Persist raw bytes before parse; second-pass raw/derived reconciliation,False all-zero ledger corrected from 336 raw responses without replay,work/results/OMI-3078/EMPIRICAL_EVIDENCE_SYNTHESIS.md §5
Resource censoring,Cap prevents planned response from existing,Prospective resource qualification; integrity classification,2048 stop at ordinal 335; fresh 8192 qualification before new bank,work/results/OMI-3078/EMPIRICAL_EVIDENCE_SYNTHESIS.md §§8-9
Selected continuation,Retry/replacement reweights accepted outcomes,One planned attempt for first-attempt estimand; stop on integrity failure,Final N=124 bank used no retry/replay/replacement/imputation,work/results/OMI-3078/REPRODUCIBILITY_PROTOCOL.md §§E3-E4
Pseudo-replication,Calls nested in one instance treated as independent,Aggregate/test at independent instance or justify cluster model,Frozen N=124 analysis used instance-level endpoint,work/results/OMI-3078/IDENTIFICATION_FRAMEWORK.md §7
Outcome-informed confirmation,Exploratory pattern reused as confirmatory evidence,Wholly fresh prospective bank and frozen primary,Post-hoc +0.10714 depth slope tested on fresh N=124; not confirmed,work/results/OMI-3078/EMPIRICAL_EVIDENCE_SYNTHESIS.md §§6-11
Fixed-bank incompleteness,Exposed prefix promoted after failure,First integrity failure stops confirmatory bank; no prefix confirmation,Partially exposed R4DP bank never resumed or used as confirmation,work/results/OMI-3078/REPRODUCIBILITY_PROTOCOL.md
