instance_id,relabel,D_S,D_T,D_U,L_primary
R4N124001,0,0.0,0.0,0.0,0.0
R4N124002,1,-0.5,-0.5,0.0,0.25
R4N124003,0,0.5,0.0,0.0,-0.25
R4N124004,1,0.0,0.0,0.5,0.25
R4N124005,0,0.0,0.5,0.0,0.0
R4N124006,1,-0.5,0.0,0.5,0.5
R4N124007,0,0.0,-0.5,0.5,0.25
R4N124008,1,-0.5,0.0,0.0,0.25
R4N124009,0,0.0,-0.5,0.0,0.0
R4N124010,1,0.5,-0.5,-0.5,-0.5
R4N124011,0,-0.5,-0.5,-0.5,0.0
R4N124012,1,0.5,0.0,0.0,-0.25
R4N124013,0,0.5,0.0,0.5,0.0
R4N124014,1,-0.5,-0.5,0.0,0.25
R4N124015,0,0.0,0.0,0.5,0.25
R4N124016,1,0.0,-0.5,0.0,0.0
R4N124017,0,0.5,0.0,0.0,-0.25
R4N124018,1,0.0,-0.5,0.5,0.25
R4N124019,0,0.0,-0.5,0.0,0.0
R4N124020,1,0.0,-0.5,0.0,0.0
R4N124021,0,0.5,0.0,0.0,-0.25
R4N124022,1,0.5,0.0,0.0,-0.25
R4N124023,0,0.0,0.0,0.0,0.0
R4N124024,1,0.5,1.0,-0.5,-0.5
R4N124025,0,1.0,0.0,-0.5,-0.75
R4N124026,1,0.0,0.5,0.0,0.0
R4N124027,0,0.0,0.5,0.5,0.25
R4N124028,1,0.5,0.0,0.0,-0.25
R4N124029,0,-0.5,0.5,0.5,0.5
R4N124030,1,-0.5,0.5,-0.5,0.0
R4N124031,0,0.0,0.0,0.0,0.0
R4N124032,1,0.0,0.0,-0.5,-0.25
R4N124033,0,0.0,0.0,0.5,0.25
R4N124034,1,0.0,0.0,-0.5,-0.25
R4N124035,0,0.5,0.5,-0.5,-0.5
R4N124036,1,0.0,0.5,0.0,0.0
R4N124037,0,0.0,0.5,0.0,0.0
R4N124038,1,0.0,0.0,-0.5,-0.25
R4N124039,0,0.0,0.0,0.0,0.0
R4N124040,1,-1.0,0.5,0.0,0.5
R4N124041,0,-0.5,0.0,0.0,0.25
R4N124042,1,-0.5,0.0,0.0,0.25
R4N124043,0,0.0,-0.5,0.0,0.0
R4N124044,1,-0.5,-0.5,0.0,0.25
R4N124045,0,0.5,0.5,0.0,-0.25
R4N124046,1,0.0,-0.5,0.0,0.0
R4N124047,0,0.5,0.0,0.0,-0.25
R4N124048,1,0.5,0.5,0.0,-0.25
R4N124049,0,0.5,0.0,-1.0,-0.75
R4N124050,1,0.5,-0.5,0.0,-0.25
R4N124051,0,0.0,0.0,0.0,0.0
R4N124052,1,0.0,0.5,0.0,0.0
R4N124053,0,0.0,0.0,0.5,0.25
R4N124054,1,0.0,0.5,0.0,0.0
R4N124055,0,-0.5,0.0,0.0,0.25
R4N124056,1,0.0,-0.5,0.5,0.25
R4N124057,0,-0.5,0.0,0.0,0.25
R4N124058,1,-0.5,0.0,0.0,0.25
R4N124059,0,0.5,1.0,0.0,-0.25
R4N124060,1,-1.0,0.0,0.0,0.5
R4N124061,0,0.0,0.0,0.5,0.25
R4N124062,1,0.5,0.0,0.5,0.0
R4N124063,0,0.5,0.5,0.5,0.0
R4N124064,1,0.0,0.0,-0.5,-0.25
R4N124065,0,-0.5,-0.5,0.0,0.25
R4N124066,1,-0.5,-0.5,0.5,0.5
R4N124067,0,0.5,0.5,0.5,0.0
R4N124068,1,0.0,-0.5,0.0,0.0
R4N124069,0,0.0,0.5,0.5,0.25
R4N124070,1,0.0,0.0,0.0,0.0
R4N124071,0,0.0,0.5,0.5,0.25
R4N124072,1,0.0,0.0,0.0,0.0
R4N124073,0,0.0,-0.5,0.0,0.0
R4N124074,1,0.0,0.0,0.5,0.25
R4N124075,0,0.0,0.0,0.0,0.0
R4N124076,1,0.0,0.0,0.0,0.0
R4N124077,0,-1.0,0.0,0.5,0.75
R4N124078,1,-0.5,-0.5,0.0,0.25
R4N124079,0,0.0,0.0,-0.5,-0.25
R4N124080,1,0.0,0.0,-0.5,-0.25
R4N124081,0,0.0,0.0,-0.5,-0.25
R4N124082,1,1.0,0.0,0.0,-0.5
R4N124083,0,-0.5,0.0,0.5,0.5
R4N124084,1,-0.5,0.5,0.5,0.5
R4N124085,0,0.0,-0.5,0.0,0.0
R4N124086,1,-0.5,0.0,-0.5,0.0
R4N124087,0,0.0,-0.5,0.0,0.0
R4N124088,1,0.0,0.5,0.0,0.0
R4N124089,0,0.5,-0.5,0.0,-0.25
R4N124090,1,-0.5,0.0,-0.5,0.0
R4N124091,0,0.0,0.0,-0.5,-0.25
R4N124092,1,0.0,1.0,0.0,0.0
R4N124093,0,0.0,0.0,0.5,0.25
R4N124094,1,0.5,0.5,1.0,0.25
R4N124095,0,0.5,-0.5,1.0,0.25
R4N124096,1,-0.5,-0.5,0.0,0.25
R4N124097,0,-0.5,0.0,0.0,0.25
